               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 138,            0.051352,            0.073127,          0.00076865,             0.85081,             0.75551,             0.80585,             0.28445,            0.049018,            0.048341,          0.00067236,            0.005479,            0.005479,            0.005479
                 139,            0.051004,            0.076486,          0.00080269,              0.8565,             0.79326,             0.85199,             0.34776,              0.0409,            0.047291,          0.00057685,            0.005446,            0.005446,            0.005446
                 140,            0.048575,            0.078014,          0.00079866,             0.85511,             0.78059,             0.83323,             0.30221,            0.047727,            0.047611,          0.00061714,            0.005413,            0.005413,            0.005413
                 141,            0.051484,            0.089743,           0.0006983,              0.9048,             0.78042,             0.85918,             0.33067,            0.040987,            0.047472,          0.00055877,             0.00538,             0.00538,             0.00538
                 142,            0.051661,            0.082594,          0.00091595,             0.91152,             0.81737,             0.88025,             0.33448,            0.043273,            0.044511,          0.00059798,            0.005347,            0.005347,            0.005347
                 143,            0.049824,             0.08478,          0.00089016,             0.85233,             0.81723,             0.85274,              0.3074,            0.044935,             0.04555,          0.00063553,            0.005314,            0.005314,            0.005314
                 144,             0.04969,            0.067626,          0.00075887,             0.87863,             0.83036,             0.87945,             0.35801,            0.038192,             0.04503,          0.00059415,            0.005281,            0.005281,            0.005281
                 145,            0.053441,            0.068004,          0.00070107,             0.82001,             0.76584,             0.80246,             0.25644,             0.05381,            0.045487,          0.00059852,            0.005248,            0.005248,            0.005248
                 146,            0.050127,            0.061017,          0.00070972,             0.89478,             0.77346,              0.8536,             0.33718,            0.040205,            0.047468,          0.00059684,            0.005215,            0.005215,            0.005215
                 147,            0.051998,            0.076028,          0.00093318,             0.84656,             0.85167,              0.8733,             0.35434,            0.039051,            0.045939,          0.00064151,            0.005182,            0.005182,            0.005182
                 148,            0.049496,            0.064154,          0.00082807,             0.82831,             0.75717,             0.79342,             0.25165,            0.051508,            0.045748,          0.00071566,            0.005149,            0.005149,            0.005149
                 149,            0.055375,            0.079826,          0.00087605,             0.84635,             0.83175,             0.86521,             0.33516,            0.041302,             0.04668,          0.00070514,            0.005116,            0.005116,            0.005116
                 150,            0.051733,            0.071556,           0.0010421,             0.84376,             0.78631,             0.82624,             0.27266,            0.048538,            0.046886,          0.00081709,            0.005083,            0.005083,            0.005083
